playerID,homeAway,Name,Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,InitPlayerName,InitPlayerID,Away?
42932,Home,Richaun Holmes,C,Richaun Holmes,6300,Atl@Phi 07:00PM ET,19.75,Phi,Evan Fournier,24346,@Phi
22407,Home,Jae Crowder,SF,Jae Crowder,6200,Mil@Bos 07:30PM ET,27.676,Bos,Lou Williams,140,@Bos
756,Home,Derrick Rose,PG,Derrick Rose,6100,Mia@NY 07:30PM ET,30.375,NY,LaMarcus Aldridge,66,@NY
24181,Away,Otto Porter,SF/PF,Otto Porter,6100,Was@LAC 10:30PM ET,29.469,Was,Dennis Schroder,26503,@Was
59,Away,Marvin Williams,PF,Marvin Williams,6100,Cha@Tor 07:30PM ET,25.287,Cha,Rudy Gay,71,@Cha
22337,Away,Victor Oladipo,SG,Victor Oladipo,6000,OKC@Orl 07:00PM ET,28.897,OKC,George Hill,780,@OKC
9280,Away,Dion Waiters,SG/SF,Dion Waiters,6000,Mia@NY 07:30PM ET,29.092,Mia,Victor Oladipo,22337,@Mia
128,Away,Ersan Ilyasova,PF/C,Ersan Ilyasova,6000,Atl@Phi 07:00PM ET,25.531,Atl,Eric Gordon,762,@Atl
2372,Away,Harrison Barnes,SF/PF,Harrison Barnes,6000,Dal@NO 08:00PM ET,30.154,Dal,Jrue Holiday,1615,@Dal
779,Home,Serge Ibaka,PF/C,Serge Ibaka,6000,Cha@Tor 07:30PM ET,29.535,Tor,D'Angelo Russell,41490,@Tor
23365,Away,Tyler Johnson,PG,Tyler Johnson,5900,Mia@NY 07:30PM ET,27.66,Mia,Nikola Jokic,49571,@Mia
308,Away,Dirk Nowitzki,PF,Dirk Nowitzki,5900,Dal@NO 08:00PM ET,27.707,Dal,Tobias Harris,7119,@Dal
4191,Away,Markieff Morris,PF,Markieff Morris,5800,Was@LAC 10:30PM ET,28.152,Was,Nicolas Batum,782,@Was
2194,Home,Avery Bradley,SG,Avery Bradley,5700,Mil@Bos 07:30PM ET,31.163,Bos,Wilson Chandler,47,@Bos
24303,Away,Nerlens Noel,C,Nerlens Noel,5600,Dal@NO 08:00PM ET,21.994,Dal,Myles Turner,52575,@Dal
22550,Home,T.J. McConnell,PG,T.J. McConnell,5500,Atl@Phi 07:00PM ET,22.573,Phi,J.J. Redick,76,@Phi
42415,Home,Buddy Hield,SG,Buddy Hield,5400,Uta@Sac 10:30PM ET,17.412,Sac,Nikola Vucevic,6925,@Sac
37870,Home,Willy Hernangomez,C,Guillermo Hernangomez,5400,Mia@NY 07:30PM ET,19.559,NY,Jeff Teague,1614,@NY
24152,Away,Cody Zeller,C,Cody Zeller,5400,Cha@Tor 07:30PM ET,24.764,Cha,Reggie Jackson,3771,@Cha
24346,Home,Evan Fournier,SG,Evan Fournier,5300,OKC@Orl 07:00PM ET,26.992,Orl,Marcus Morris,4078,@Orl
28787,Away,Josh Richardson,SG/SF,Josh Richardson,5300,Mia@NY 07:30PM ET,20.466,Mia,Jordan Clarkson,22892,@Mia
2178,Away,Greg Monroe,C,Greg Monroe,5200,Mil@Bos 07:30PM ET,26.458,Mil,Avery Bradley,2194,@Mil
24308,Home,Aaron Gordon,PF,Aaron Gordon,5200,OKC@Orl 07:00PM ET,22.948,Orl,Zach Randolph,165,@Orl
4873,Away,Seth Curry,PG,Seth Curry,5200,Dal@NO 08:00PM ET,22.868,Dal,Gary Harris,24252,@Dal
1653,Away,Wesley Matthews,SG/SF,Wesley Matthews,5200,Dal@NO 08:00PM ET,25.634,Dal,Serge Ibaka,779,@Dal
24209,Away,Malcolm Brogdon,PG/SG,Malcolm Brogdon,5100,Mil@Bos 07:30PM ET,22.173,Mil,Darren Collison,1637,@Mil
9273,Away,Enes Kanter,C,Enes Kanter,5100,OKC@Orl 07:00PM ET,26.218,OKC,Kentavious Caldwell-Pope,24162,@OKC
42410,Away,Taurean Prince,SF,Taurean Prince,5100,Atl@Phi 07:00PM ET,11.06,Atl,Al Horford,35,@Atl
28751,Away,Frank Kaminsky,PF/C,Frank Kaminsky,5100,Cha@Tor 07:30PM ET,23.129,Cha,Tim Hardaway Jr.,9386,@Cha
515,Home,Pau Gasol,C,Pau Gasol,5100,GS@SA 09:30PM ET,28.424,SA,Nick Young,234,@SA
9339,Home,Terrence Ross,SF,Terrence Ross,5000,OKC@Orl 07:00PM ET,19.211,Orl,Jae Crowder,22407,@Orl
