playerID,homeAway,First Name Last Name,Id,First Name,Last Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status,InitPlayerName,InitPlayerID,Away?
2305,Home,Paul George,nba.p.4725,Paul,George,SF,IND,MEM,IND@MEM,8:00PM EDT,42,37.2,,Zach LaVine,41396,@MEM
2429,Home,Kevin Seraphin,nba.p.4748,Kevin,Seraphin,PF,IND,MEM,IND@MEM,8:00PM EDT,10,9,,Dwyane Wade,450,@MEM
9730,Home,Lavoy Allen,nba.p.4932,Lavoy,Allen,PF,IND,MEM,IND@MEM,8:00PM EDT,10,9.6,,Kristaps Porzingis,32861,@MEM
,Home,Glenn Robinson III,nba.p.5351,Glenn,Robinson III,SF,IND,MEM,IND@MEM,8:00PM EDT,10,13,INJ,Hassan Whiteside,7693,@MEM
52575,Home,Myles Turner,nba.p.5471,Myles,Turner,C,IND,MEM,IND@MEM,8:00PM EDT,22,30.3,,Derrick Rose,756,@MEM
24156,Home,Rakeem Christmas,nba.p.5496,Rakeem,Christmas,C,IND,MEM,IND@MEM,8:00PM EDT,10,5.9,,Danilo Gallinari,761,@MEM
22869,Home,Joe Young,nba.p.5503,Joe,Young,SG,IND,MEM,IND@MEM,8:00PM EDT,10,3.7,,Chris Paul,61,@MEM
42429,Home,Georges Niang,nba.p.5681,Georges,Niang,PF,IND,MEM,IND@MEM,8:00PM EDT,10,2.2,,Dion Waiters,9280,@MEM
275,Away,Vince Carter,nba.p.3248,Vince,Carter,SF,MEM,IND,IND@MEM,8:00PM EDT,10,17,,Evan Fournier,24346,@IND
165,Away,Zach Randolph,nba.p.3531,Zach,Randolph,PF,MEM,IND,IND@MEM,8:00PM EDT,18,26.4,,Lou Williams,140,@IND
391,Away,Tony Allen,nba.p.3842,Tony,Allen,SG,MEM,IND,IND@MEM,8:00PM EDT,10,20.6,,LaMarcus Aldridge,66,@IND
33,Away,Mike Conley,nba.p.4246,Mike,Conley,PG,MEM,IND,IND@MEM,8:00PM EDT,36,36,,Dennis Schroder,26503,@IND
45,Away,Brandan Wright,nba.p.4286,Brandan,Wright,C,MEM,IND,IND@MEM,8:00PM EDT,10,11.9,,Rudy Gay,71,@IND
22,Away,Marc Gasol,nba.p.4325,Marc,Gasol,C,MEM,IND,IND@MEM,8:00PM EDT,30,37.1,GTD,George Hill,780,@IND
2537,Away,Chandler Parsons,nba.p.4920,Chandler,Parsons,SF,MEM,IND,IND@MEM,8:00PM EDT,10,12.8,INJ,Victor Oladipo,22337,@IND
31122,Away,James Ennis,nba.p.5220,James,Ennis III,SF,MEM,IND,IND@MEM,8:00PM EDT,10,14.2,,Eric Gordon,762,@IND
2187,Away,JaMychal Green,nba.p.5262,JaMychal,Green,PF,MEM,IND,IND@MEM,8:00PM EDT,10,20.8,,Jrue Holiday,1615,@IND
18948,Away,Troy Daniels,nba.p.5282,Troy,Daniels,SG,MEM,IND,IND@MEM,8:00PM EDT,10,11.7,,D'Angelo Russell,41490,@IND
41442,Away,Jarell Martin,nba.p.5485,Jarell,Martin,PF,MEM,IND,IND@MEM,8:00PM EDT,10,9.4,,Nikola Jokic,49571,@IND
24306,Away,Andrew Harrison,nba.p.5504,Andrew,Harrison,PG,MEM,IND,IND@MEM,8:00PM EDT,10,13.4,,Tobias Harris,7119,@IND
